Sum of Price,Column Labels,,,
Row Labels,1.00E+00,1.03E+02,1.10E+02,Grand Total
1.00E-02,,5.031069947,5.364763362,10.39583331
1.20E-01,,7.742148434,8.255658279,15.99780671
2.30E-01,,11.9456869,12.73800286,24.68368976
3.40E-01,,16.2464261,17.32399517,33.57042127
4.50E-01,,20.54056071,21.90294484,42.44350554
5.60E-01,,24.79552887,26.44013028,51.23565915
6.70E-01,,28.99232467,30.91528498,59.90760965
7.80E-01,,33.11640069,35.31289665,68.42929734
8.90E-01,,37.15537034,39.61975714,76.77512748
1.00E+00,1,41.09827418,43.82418013,85.92245431
Grand Total,1,226.6637908,241.6976137,469.3614045
